Symbol;Name;Sector
AI.PA;Air Liquide, société anonyme;Chemicals - Major Diversified
CS.PA;AXA SA;Property & Casualty Insurance
ALO.PA;Alstom SA;Diversified Machinery
AC.PA;Accor SA;Lodging
AF.PA;Air France-KLM SA;Major Airlines
ALEHT.PA;Diaxonhit;Biotechnology
SIPH.PA;Société Internationale de Plantations d'Hévéas Société Anonyme;Lumber, Wood Production
CAFO.PA;Centrale d'Achat Française pour l'Outre-Mer Société Anonyme;Specialty Retail, Other
RMS.PA;Hermès International Société en commandite par actions;Jewelry Stores
PHM7.DE;Altria Group, Inc.;Tobacco Products, Other
MLMAB.PA;Maison Antoine Baud Société Anonyme;REIT - Office
CDA.PA;Compagnie des Alpes SA;Resorts & Casinos
ATO.PA;Atos SE;Information Technology Services
ATA.PA;Atari SA;Multimedia & Graphics Software
ALT.PA;Altran Technologies S.A.;Information Technology Services
ALMDG.PA;MGI Digital Technology Société Anonyme;Business Services
ALAST.PA;Astellia S.A.;Technical & System Software
ADP.PA;Aéroports de Paris SA;Air Services, Other
ZC.PA;Zodiac Aerospace;Aerospace/Defense - Major Diversified
XIL.PA;Xilam Animation;Entertainment - Diversified
BNP.PA;BNP Paribas SA;Money Center Banks
BN.PA;Danone;Food - Major Diversified
BAIN.PA;Société Anonyme des Bains de Mer et du Cercle des Étrangers à Monaco;Resorts & Casinos
EN.PA;Bouygues SA;General Contractors
ML.PA;Compagnie Générale des Etablissements Michelin;Rubber & Plastics
DSY.PA;Dassault Systèmes SE;Technical & System Software
EDF.PA;Electricité de France S.A.;Diversified Utilities
SMTPC.PA;Société Marseillaise du Tunnel Prado Carénage;Heavy Construction
VOW3.F;Volkswagen Aktiengesellschaft;Auto Manufacturers - Major
SOW.F;Software Aktiengesellschaft;Business Software & Services
PUM.F;PUMA SE;Textile - Apparel Footwear & Accessories
LHA.F;Deutsche Lufthansa Aktiengesellschaft;Major Airlines
IFX.F;Infineon Technologies AG;Semiconductor - Broad Line
HOT.F;HOCHTIEF Aktiengesellschaft;General Contractors
FME.F;Fresenius Medical Care AG & Co. KGAA;Hospitals
FDR.PA;Fonciere des Regions;REIT - Diversified
EVT.F;Evotec AG;Drugs - Generic
EUZ.F;Eckert & Ziegler Strahlen- und Medizintechnik AG;Medical Appliances & Equipment
DVT.PA;Devoteam S.A.;Information Technology Services
DPT.PA;S.T. Dupont S.A.;Textile - Apparel Clothing
DGM.PA;Diagnostic Medical Systems S.A.;Medical Appliances & Equipment
DBV.PA;DBV Technologies S.A.;Biotechnology
CBSM.PA;SociÃ©tÃ© Centrale des Bois et des Scieries de la Manche S.A.;REIT - Diversified
BSD.PA;Bourse Direct Société Anonyme;Investment Brokerage - National
BMW.F;Bayerische Motoren Werke Aktiengesellschaft;Auto Manufacturers - Major
WIN.F;Diebold Nixdorf Aktiengesellschaft;Business Software & Services
WDI.F;Wirecard AG;Business Services
WDC.F;Western Digital Corporation;Data Storage Devices
VVV3.F;ÖKOWORLD AG;Insurance Brokers
VOW.F;Volkswagen Aktiengesellschaft;Auto Manufacturers - Major
USE.F;Beate Uhse AG;Specialty Retail, Other
TUI1.F;TUI AG;Recreational Goods, Other
SY1.F;Symrise AG;Specialty Chemicals
SWA.F;Schloss Wachenheim AG;Beverages - Wineries & Distillers
STO3.F;Sto SE & Co. KGaA;General Building Materials
SMHN.F;SÜSS MicroTec SE;Semiconductor Equipment & Materials
SIX2.F;Sixt SE;Rental & Leasing Services
SGL.F;SGL Carbon SE;Chemicals - Major Diversified
SAZ.F;STADA Arzneimittel Aktiengesellschaft;Drugs - Generic
S92.F;SMA Solar Technology AG;Diversified Utilities
R6C3.F;Royal Dutch Shell plc;Major Integrated Oil & Gas
PS4.F;Phoenix Solar Aktiengesellschaft;Diversified Utilities
PPA.F;PA Power Automation AG;Technical & System Software
PAH3.F;Porsche Automobil Holding SE;Auto Manufacturers - Major
PA8.F;Paion AG;Biotechnology
ODET.PA;Financière de l'Odet SA;Conglomerates
O1BC.F;XING AG;Internet Information Providers
NDA.F;Aurubis AG;Copper
MUV2.F;Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft;Property & Casualty Insurance
MUM.F;Mensch und Maschine Software SE;Business Services
MTX.F;MTU Aero Engines AG;Aerospace/Defense - Major Diversified
MLTRA.PA;Compagnie des Tramways de Rouen SA;Conglomerates
MLTED.PA;Telecom Design SA;Communication Equipment
MLLEM.PA;Lecteurs Du Monde;Business Services
MLL.F;Müller - Die lila Logistik AG;Air Delivery & Freight Services
MLEAU.PA;Societe des Eaux de Douai SA;Water Utilities
MLDAM.PA;Damaris SA;Technical & System Software
MLCMB.PA;Compagnie Du Mont-Blanc;Recreational Goods, Other
MLCFM.PA;CFM Indosuez Wealth;Money Center Banks
