"date" "anger" "anticipation" "disgust" "fear" "joy" "negative" "positive" "sadness" "surprise" "trust" "volume" "prix" "High" "Low" "Close" "VolumeB" "Adjusted" "prixj1" "liss_veille" "accr"
2022-03-21 118 178 73 147 141 267 400 107 93 217 10277 163.509995 166.350006 163.009995 165.380005 95811400 164.90831 165.509995 163.509995 2
2022-03-22 140 190 92 181 151 331 479 137 110 239 10269 165.509995 169.419998 164.910004 168.820007 81532000 168.338501 167.990005 165.509995 2.48000999999999
2022-03-23 137 182 95 169 140 317 473 127 98 258 7875 167.990005 172.639999 167.649994 170.210007 98062700 169.724533 171.059998 167.990005 3.06999300000001
2022-03-24 135 207 87 163 163 318 500 123 105 267 7878 171.059998 174.139999 170.210007 174.070007 90131400 173.573532 173.880005 171.059998 2.820007
2022-03-25 130 191 81 157 135 296 466 123 99 248 9414 173.880005 175.279999 172.75 174.720001 80546200 174.221664 NA 173.880005 0
2022-03-26 144 193 79 172 151 324 484 121 112 247 7951 NA NA NA NA NA NA NA 173.880005 0
2022-03-27 124 183 75 152 135 291 423 122 87 223 6755 NA NA NA NA NA NA 172.169998 173.880005 -1.71000700000002
2022-03-28 112 152 77 131 128 253 392 111 87 207 5942 172.169998 175.729996 172 175.600006 90371900 175.099167 176.690002 172.169998 4.520004
2022-03-29 127 204 83 160 158 301 488 121 95 252 6651 176.690002 179.009995 176.339996 178.960007 100589400 178.44957 178.550003 176.690002 1.86000100000001
2022-03-30 130 196 76 154 153 284 453 119 111 236 7609 178.550003 179.610001 176.699997 177.770004 92633200 177.26297 177.839996 178.550003 -0.71000699999999
2022-03-31 140 196 83 177 160 315 480 111 98 259 6871 177.839996 178.029999 174.399994 174.610001 103049300 174.111984 174.029999 177.839996 -3.80999700000001
2022-04-01 145 190 85 177 146 332 470 130 106 248 10879 174.029999 174.880005 171.940002 174.309998 78751300 173.812836 NA 174.029999 0
2022-04-02 141 201 75 175 153 309 468 123 113 238 9779 NA NA NA NA NA NA NA 174.029999 0
2022-04-03 130 166 80 142 139 277 433 113 87 229 6695 NA NA NA NA NA NA 174.570007 174.029999 0.540008
2022-04-04 107 153 75 142 121 264 373 103 84 195 6785 174.570007 178.490005 174.440002 178.440002 76468400 177.931061 177.5 174.570007 2.929993
2022-04-05 131 183 79 159 137 284 436 115 94 227 7924 177.5 178.300003 174.419998 175.059998 73401800 174.560699 172.360001 177.5 -5.13999899999999
2022-04-06 128 183 76 153 153 289 446 111 103 243 10367 172.360001 173.630005 170.130005 171.830002 89058800 171.33992 171.160004 172.360001 -1.19999700000002
2022-04-07 134 202 94 170 159 319 497 131 100 273 7536 171.160004 173.360001 169.850006 172.139999 77594700 171.649017 171.779999 171.160004 0.619995000000017
2022-04-08 141 210 72 173 160 312 495 135 111 265 7775 171.779999 171.779999 169.199997 170.089996 76575500 169.604874 NA 171.779999 0
2022-04-09 127 204 77 164 158 308 486 130 102 243 7062 NA NA NA NA NA NA NA 171.779999 0
2022-04-10 124 183 84 158 143 288 435 117 92 229 6938 NA NA NA NA NA NA 168.710007 171.779999 -3.06999200000001
2022-04-11 115 176 66 139 145 256 430 109 82 227 13754 168.710007 169.029999 165.5 165.75 72246700 165.277252 168.020004 168.710007 -0.69000299999999
2022-04-12 141 195 85 172 160 307 491 126 111 262 9521 168.020004 169.869995 166.639999 167.660004 79265200 167.181808 167.389999 168.020004 -0.630005000000011
2022-04-13 142 209 84 178 171 319 531 131 109 277 7779 167.389999 171.039993 166.770004 170.399994 70618900 169.913986 170.619995 167.389999 3.229996
2022-04-14 142 201 97 166 161 334 475 133 112 251 7141 170.619995 171.270004 165.039993 165.289993 75329400 164.818558 NA 170.619995 0
2022-04-15 117 185 74 136 152 275 451 111 103 234 6164 NA NA NA NA NA NA NA 170.619995 0
2022-04-16 124 208 79 155 164 279 481 117 105 250 6293 NA NA NA NA NA NA NA 170.619995 0
2022-04-17 121 169 70 146 129 267 402 93 87 213 5135 NA NA NA NA NA NA 163.919998 170.619995 -6.699997
2022-04-18 109 159 68 131 138 256 408 105 83 201 5236 163.919998 166.600006 163.570007 165.070007 69023900 164.599197 165.020004 163.919998 1.10000600000001
2022-04-19 119 190 84 148 150 270 445 113 103 227 5968 165.020004 167.820007 163.910004 167.399994 67723800 166.922531 168.759995 165.020004 3.739991
2022-04-20 137 189 91 160 156 297 476 121 105 243 6167 168.759995 168.880005 166.100006 167.229996 67929800 166.753021 168.910004 168.759995 0.150008999999983
2022-04-21 123 201 83 159 158 301 478 116 105 251 6390 168.910004 171.529999 165.910004 166.419998 87227800 165.945328 166.460007 168.910004 -2.449997
2022-04-22 135 205 86 192 150 295 470 133 98 249 6853 166.460007 167.869995 161.5 161.789993 84882400 161.328537 NA 166.460007 0
2022-04-23 130 205 80 159 159 294 494 121 100 268 6186 NA NA NA NA NA NA NA 166.460007 0
2022-04-24 99 167 59 124 125 232 362 81 80 197 5942 NA NA NA NA NA NA 161.119995 166.460007 -5.340012
2022-04-25 107 163 62 137 132 228 391 92 89 208 5166 161.119995 163.169998 158.460007 162.880005 96046400 162.415436 162.25 161.119995 1.13000500000001
2022-04-26 134 197 86 168 145 287 457 119 104 234 6940 162.25 162.339996 156.720001 156.800003 95623200 156.352783 155.910004 162.25 -6.33999600000001
2022-04-27 138 200 82 173 146 294 477 126 97 252 6729 155.910004 159.789993 155.380005 156.570007 88063200 156.123444 159.25 155.910004 3.33999600000001
2022-04-28 139 201 75 166 162 306 483 123 102 264 7360 159.25 164.520004 158.929993 163.639999 130216800 163.173264 161.839996 159.25 2.58999600000001
2022-04-29 154 196 92 175 152 338 479 135 92 239 7678 161.839996 166.199997 157.25 157.649994 131747600 157.200348 NA 161.839996 0
2022-04-30 153 205 95 186 165 362 480 144 111 254 7595 NA NA NA NA NA NA NA 161.839996 0
2022-05-01 114 163 74 149 143 269 430 114 90 226 5550 NA NA NA NA NA NA 156.710007 161.839996 -5.12998900000002
2022-05-02 116 166 70 144 131 277 395 116 89 207 4944 156.710007 158.229996 153.270004 157.960007 123055300 157.50946 158.149994 156.710007 1.439987
2022-05-03 145 196 93 182 146 336 456 142 93 246 7818 158.149994 160.710007 156.320007 159.479996 88966500 159.025131 159.669998 158.149994 1.520004
2022-05-04 154 216 96 185 158 324 496 141 102 264 7274 159.669998 166.479996 159.259995 166.020004 108256500 165.546494 163.850006 159.669998 4.18000800000002
2022-05-05 153 206 93 181 152 337 489 135 99 263 6613 163.850006 164.080002 154.949997 156.770004 130525300 156.322876 156.009995 163.850006 -7.840011
2022-05-06 134 197 83 165 151 305 484 119 97 265 5893 156.009995 159.440002 154.179993 157.279999 116124600 157.061829 NA 156.009995 0
2022-05-07 150 205 92 189 163 334 491 136 118 269 8955 NA NA NA NA NA NA NA 156.009995 0
2022-05-08 148 181 92 176 147 301 463 130 97 247 6052 NA NA NA NA NA NA 154.929993 156.009995 -1.08000200000001
2022-05-09 127 153 81 158 117 283 383 129 87 199 5925 154.929993 155.830002 151.490005 152.059998 131577900 151.849075 155.520004 154.929993 0.590011000000004
2022-05-10 148 195 91 175 162 329 494 145 112 265 6743 155.520004 156.740005 152.929993 154.509995 115366700 154.29567 153.5 155.520004 -2.020004
2022-05-11 154 229 100 193 175 354 522 149 124 289 11240 153.5 155.449997 145.809998 146.5 142689800 146.296783 142.770004 153.5 -10.729996
2022-05-12 150 212 98 200 174 356 544 159 121 296 13069 142.770004 146.199997 138.800003 142.559998 182602000 142.362244 144.589996 142.770004 1.81999200000001
2022-05-13 154 210 94 194 155 361 505 154 111 261 7476 144.589996 148.100006 143.110001 147.110001 113990900 146.905945 NA 144.589996 0
2022-05-14 172 197 110 204 161 363 528 157 109 271 6334 NA NA NA NA NA NA NA 144.589996 0
2022-05-15 115 174 86 138 144 264 447 110 91 221 5422 NA NA NA NA NA NA 145.550003 144.589996 0.96000699999999
2022-05-16 99 154 63 130 128 226 407 95 87 215 4756 145.550003 147.520004 144.179993 145.539993 86643800 145.33812 148.860001 145.550003 3.30999800000001
2022-05-17 128 191 76 176 154 286 470 117 100 246 5830 148.860001 149.770004 146.679993 149.240005 78336300 149.03299 146.850006 148.860001 -2.009995
